,Nom,Description,Catégorie,Association avec un groupe?,Podcast,Facebook,X,YouTube,Instagram,Substack,Tiktok,Twitch/kick,Commentaires,A,B,C,Photo avec Trump?
Benny,Johnson," American conservative political commentator and YouTuber. He has contributed to several conservative media outlets such as Breitbart News, TheBlaze, National Review, and The Daily Caller.

Johnson was briefly associated with BuzzFeed but was fired due to several instances of plagiarism, where he used text from sources such as Yahoo Answers and Wikipedia without giving due credit. Johnson has also worked for Turning Point USA and hosted for Newsmax TV.

---

* Fait partie des influenceurs qui auraient été payés par la firme Tenet Media et Russia Today pour produire des podcasts alignés sur les positions politiques russes, selon une mise en accusation du Département de la Justice (ancien attorney general Merrick Garland), datant de 2024. Ils auraient reçu des centaines de milliers de dollars pour leur travail. Se défend en disant qu'il n'était pas au courant et que si cela s'avérait, il est une victime d'un stratagème.

« The indictment accuses state broadcaster RT, formerly Russia Today, of paying a Tennessee firm $10m (£7.6m) to ""create and distribute content to US audiences with hidden Russian government messaging"". »",,Turning Point US,TRUE,2 500 000,3 900 000,5 760 000,2 100 000,,310 200,,,x,,,Oui
James ,O’Keefe,"American political activist who founded Project Veritas, a far-right[3] activist[2] group that uses deceptively edited videos and information gathering techniques to attack mainstream media organizations and progressive groups. ",,Project Veritas,TRUE,631 400,3 300 000,412 000,1 700 000,,20 400,,,,,,
Nick,Fuentes,"an American far-right political commentator, activist and live streamer known for leading the Groypers. He identifies as a Christian nationalist, and a supporter of authoritarianism, while also associating with the incel subculture. He has been described as a neo-Nazi by various sources. His views have been characterized as white supremacist, misogynistic, homophobic, antisemitic, Islamophobic, and denying the Holocaust.

https://www.wired.com/story/nick-fuentes-plan-to-conquer-america/

---

Il est très critique de Charlie Kirk, le trouvait trop modéré. Pendant un moment, certaines personnes ont prétendu que l'assassin de Kirk était un Groyper, étant donné la réthorique violente de Fuentes.

Fuentes was banned from most major platforms, including YouTube and Facebook, for violating hate speech policies. However, his influence has been on the rise since his reinstatement on X in 2024. ",Extrême droite,America First Political Action Conference,TRUE,,933 000,,,,,,,x,,,Oui
Candace,Owens,"American political commentator and author. Her political positions have mostly been described as far-right or conservative. She has promoted numerous conspiracy theories.

Owens has gained recognition for her conservative activism—despite being initially critical of President Donald Trump and the Republican Party—as well as her criticism of Black Lives Matter.[1

Owens became a conservative, saying in 2017, ""I became a conservative overnight ... I realized that liberals were actually the racists. Liberals were actually the trolls ... Social Autopsy is why I'm conservative.

By late 2017, Owens had started producing pro-Trump commentary and criticizing notions of structural racism, systemic inequality, and identity politics – all positions she herself had been publishing two years earlier. In August 2017, she began posting politically themed videos to YouTube. In September 2017, she launched ""Red Pill Black"", a website and YouTube channel that promotes black conservatism in the United States.

---

Elle martèle que Brigitte Macron est née homme, si bien que celle-ci compte déposer des preuves photographique et scientifique de son identité de genre en cour aux États-Unis, dans le cadre d'un procès pour diffamation.

« Their lawyer says the French president and Mrs Macron will present the documentation in a defamation suit they have taken against the right-wing influencer Candace Owens after she promoted her belief that Brigitte Macron was born male. »

---

Fait intéressant lié à Charlie Kirk : elle remet en question la version officielle du gouvernement et prétend qu'Israël est impliqué. Son podcast est numéro 2 sur Spotify (pas certain de cette affirmation du Guardian)... derrière celui de Charlie Kirk, qui était son ami. Cela démontre aussi une certaine division au sein de la constellation MAGA dans la foulée de cet événement.

This week she published podcasts titled: “Charlie Kirk Suspect Charged. Something Isn’t Right…”, “Who Ordered the Hit on Charlie Kirk?” and “They Are Lying About Charlie Kirk.”",Premiers influenceurs,"Turning Point US
Blexit",TRUE,7 200 000,7 200 000,5 200 000,2 100 000,,5 900 000,,329 000 abonnés sur https://rumble.com/nickjfuentes,x,,,Oui
Chaya,Raichik,"cerveau derrière @libsoftiktok

Libs of TikTok is a username for various far-right[a] and anti-LGBTQ[b] social-media accounts operated by Chaya Raichik a former real estate agent. Raichik uses the accounts to repost content created by left-wing and LGBTQ people on TikTok or other social-media platforms, often with mocking or derogatory commentary. With millions of followers on Twitter/X, Libs of TikTok is influential among American conservatives and the political right.

The accounts promote hate speech and transphobia, and spread false claims, especially relating to medical care of transgender children. Libs of TikTok posts regularly label LGBTQ people and mental-health providers as ""groomers"". Libs of TikTok's social-media accounts have received several temporary suspensions and a permanent suspension from TikTok.",Premiers influenceurs,Libs of Tiktok,FALSE,219 400,4 500 000,52 600,595 000,143000,,,,,x,,Oui
Allie,Stuckey,"American conservative commentator whose podcast Relatable with Allie Beth Stuckey is owned and distributed by Blaze Media.[2][3] She has been a regular guest on Fox News. In November 2019, Stuckey testified before Congress in support of the Trump administration's anti-abortion policies.[

in 2016, started a blog on a Facebook page called The Conservative Millennial.[5][6] In 2017, she joined TheBlaze as a contributor and began appearing as a guest on Fox News and Fox Business News while continuing to speak on college campuses, to Republican organizations, and to businesses about the importance of engaging young people. In late 2017, she left The Blaze to start a podcast distributed by Conservative Review TV (CRTV).[5][3][7]

Stuckey launched her podcast Relatable in March 2018 with CRTV. In 2019, CRTV and TheBlaze merged to become BlazeTV, which now distributes Relatable.[8]",,TUrning Point US,TRUE,450500,536200,642 000,762 000,,,,,,,,Non
Jordan,B. Peterson,"Canadian psychologist, author, and media commentator. He received widespread attention in the late 2010s for his views on cultural and political issues

He has claimed that the rise of Donald Trump and far-right European politicians is due to a negative reaction to a push to ""feminize"" men, saying that ""if men are pushed too hard to feminize they will become more and more interested in harsh, fascist political ideology",Canadien,America’s Future Inc.,TRUE,3 800 000,6 100 000,8 800 000,9 200 000,27000,2 700 000,,,,,,Non
Michael ,Flynn,"https://www.nytimes.com/2024/06/23/us/politics/donald-trump-michael-flynn-qanon.html

https://theintercept.com/2021/06/27/qanon-michael-flynn-digital-soldiers/

On 4 July 2020, Flynn pledged an oath to the pro-Trump QAnon conspiracy theory,[37] and as Trump sought to overturn the results of the 2020 presidential election in which he was defeated, Flynn suggested the president should suspend the Constitution, silence the press, and hold a new election under military authority.[38] Flynn later met with Trump and their attorney Powell in the Oval Office to discuss the president's options. Trump denied reports that Flynn's martial law idea had been discussed.[39][40][41] Flynn has since become a prominent leader in the Christian nationalist movement, organizing and recruiting for what he characterizes as a spiritual and political war.[42][43]

Following his November 2020 pardon, Flynn deepened his involvement with QAnon by endorsing merchandise related to the conspiracy theory, creating a Digital Soldiers media company,[300] and announcing that he planned to launch a news media outlet also called ""Digital soldiers"".[301] As Flynn appeared on podcasts popular with QAnon followers such as ""Bards of War,"" QAnon stories predicted that he would help them take control,[300] some adherents even speculating that Flynn was Q","Premiers influenceurs
Administration","The America Project
Stop the steal
ReAwaken America",FALSE,,2 100 000,,,,,,,,,,Oui
Mike, Lindell,"CEO My Pillow - il a publicisé la théorie selon laquelle les démocrates auraient volé l'élection de 2020 grâce à une fraude généralisée.
https://www.cnn.com/2025/06/03/media/mike-lindell-trump-dominion-defamation-trial-mypillow
https://www.bbc.com/news/articles/cm2mnyj0ev2o
https://www.washingtonpost.com/style/power/2024/07/17/mike-lindell-my-pillow-donald-trump-lawsuit-rnc/",,,TRUE,177 000,,,383 100,,,,,,,,Oui
Nelk Boys ,Nelk Boys ,"Nelk Boys, a group of creators led by Canadian Kyle Forgeard, who first became known for their prank videos.",Canadien,,TRUE,2 000 000,669 000,8 430 000,4 100 000,,4 700 000,,,,,,Oui
Logan and Jake,Paul,"During the 2024 presidential election, Jake Paul publicly endorsed Donald Trump and supported the ""Make America Great Again"" (MAGA) movement, while his brother Logan Paul hosted Trump on his podcast, which was seen as a move to engage young voters (7milions de vues). Both brothers attended Trump's inauguration in January 2025. The Donald Trump Interview - IMPAULSIVE EP. 418 

Paul has also run the Impaulsive podcast since November 2018, which has over four million YouTube subscribers. As a wrestler, he has been signed to WWE since June 2022 where he performs on a part-time basis as part of the Smackdown brand and is a former WWE United States Champion.",,,TRUE,,"6 700 000 (Logan)
4 600 000 (Jake)","23 600 000 (Logan)
20 900 000 (Jake)","27 000 000 (Logan)
28 200 000 (Jake)",,,,,,,,Oui
Andrew,Tate,"Why the Tate brothers appeal to some in the MAGA movement | CNN Politics
https://www.theguardian.com/commentisfree/2025/mar/08/andrew-tate-donald-trump

Andrew Tate has become one of the most influential public figures of his generation – perhaps not in spite of his alleged abuse of women, but because of it. His was the third-most Googled name in 2023;. Tate is a prolific producer of content, including videos and podcasts, and is a frequent guest of rightwing media figures from Tucker Carlson to Candace Owens to Piers Morgan.

Spotify removes an Andrew Tate podcast from its platform",,,TRUE,,10 800 000,,33 600,,,,,,,,Non
Aiden,Ross,"Adin David Ross (born October 11, 2000) is an American internet personality and online streamer. e previously streamed on Twitch, from which he was ""permanently"" banned in 2023. However, the ban was lifted in March 2025, allowing him to return to the platform. A few days before his initial ban, he signed with the livestreaming service Kick. 
In August 2024, Ross interviewed then-former president Donald Trump on his stream and told his viewers to vote for Trump in the 2024 election. The stream had more than 500,000 concurrent viewers at its peak.
Ross has hosted the far-right political pundit Nick Fuentes on his stream multiple times.
https://www.scmp.com/magazines/style/entertainment/article/3273839/who-adin-ross-streamer-who-interviewed-donald-trump-barron-trumps-friend-gifted-donald-rolex-and 
https://news.northeastern.edu/2024/08/14/donald-trump-influencers/",Manosphere,,TRUE,,2 600 000,4 570 000,6 570 000,,6 300 000,12 000 000 +,"Trump s’est assis avec lui pendant la campagne pour un 90-minute conversation on Kick, a live-streaming platform",x,,,Oui
Theo,Von,"présent à l’inauguration
podcaster and comedian Theo Von hosted Trump and Vance on their respective shows
Theo Von’s This Past Weekend",,,TRUE,3 200 000,1 700 000,4 300 000,8 600 000,,7 900 000,,,,,,Oui
Brian,Glenn,"Brian Glenn is a chief White House correspondent for the right-wing news network Real America's Voice 
(chum de Marjorie Taylor Green)

https://www.politico.com/news/magazine/2024/04/24/brian-glenn-marjorie-taylor-greene-00153452",,,FALSE,9 200,"70000
(439 000 Real america's voice)",217000 (Real america's voice),35 700,,3 800,,,,,,Oui
Christopher,Rufo,"""Leading the fight against the left-wing ideological regime.""

American conservative activist, New College of Florida board member, and senior fellow at the Manhattan Institute for Policy Research. He is an opponent of critical race theory. He is a former documentary filmmaker and former fellow at the Discovery Institute, the Claremont Institute, The Heritage Foundation, and the Foundation Against Intolerance and Racism.

Rufo's appearances with Tucker Carlson on Fox News reportedly influenced President Donald Trump to issue an executive order in 2020 banning some topics from diversity training for the government and contractors; the order was rescinded by President Joe Biden in 2021.

Rufo has been a prominent advocate for bans on teachers discussing LGBTQ issues in classrooms. 

In September 2024, during an incident related to the Springfield, Ohio, cat-eating hoax, Rufo alleged that African migrants were eating cats in Dayton, Ohio, based on an August 2023 video of skinned animals being grilled, which drew social media responses that the skinned animals resembled chickens.",,"Manhattan Institute for Policy Research
Discovery 
Institute Claremont Institute
The Heritage Foundation
Foundation Against Intolerance and Racism.",FALSE,,837 000,60 700,,,,,119 000 abonnés Substack https://christopherrufo.com/subscribe ,,,,Non
Peter,Thiel,"Peter Thiel was one of the first Silicon Valley giants to support Donald Trump.

https://www.lemonde.fr/en/summer-reads/article/2025/07/22/peter-thiel-the-libertarian-billionaire-waging-war-on-government_6743617_183.html

entrepreneur, venture capitalist, and political activist. A co-founder of PayPal, Palantir Technologies, and Founders Fund, he was the first outside investor in Facebook.",Finances / Tech,,TRUE,,433 200,,,,,,,,,,Oui
Milo ,Yiannopoulos,"His speeches and writings criticise Islam, feminism, and social justice. Yiannopoulos is a former editor of Breitbart News, an American far-right news and opinion website.
Yiannopoulos has been accused of advocating paedophilia after the emergence of several video clips in which he said that sexual relationships between 13-year-old boys and adults can be ""perfectly consensual"" and positive experiences for such boys. Following the release of the video clips, Yiannopoulos resigned his position at Breitbart, his invitation to speak before the Conservative Political Action Conference (CPAC) was rescinded, and a contract to publish his autobiography with Simon & Schuster was cancelled. 

In 2022, Yiannopoulos served as an intern for United States Congresswoman Marjorie Taylor Greene, then worked with white nationalist Nick Fuentes, whom he later turned on, and rapper Kanye West on the latter's short-lived 2024 U.S. presidential election campaign

 Milo Yiannopoulos revealed plans to end his retirement with upcoming campus appearances. The former Breitbart editor and outspoken provocateur aims to reignite his influence among young audiences,
https://timesofindia.indiatimes.com/videos/entertainment/english/milo-yiannopoulos-announces-provocative-comeback-following-assassination-of-charlie-kirk/videoshow/123950969.cms

**In January 2017, Yiannopoulos spoke at the University of Washington. The event led to large protests.[63] A 34-year-old man was shot while protesting and suffered life-threatening injuries. A witness recalled seeing someone release pepper spray in the crowd, which triggered the shooting confrontation.

In March 2021, Yiannopoulos declared to the LifeSiteNews website that he was an ex-gay and would begin advocating on behalf of improving the public image of gay conversion therapy.[",,former Breitbart editor,TRUE,,776 000,,27 000,,,,,,,,Non
Hodge twins,,"also known as the Conservative Twins, are an American stand-up comedy and conservative political commentary duo consisting of twin brothers Keith and Kevin Hodge. 
The twins are Donald Trump supporters, and appeared on Trump's Real News. They oppose the Black Lives Matter political and social movement.

Two of the most shared Facebook posts about the George Floyd protests originated from the Hodge twins. They are frequent guests on conservative comedian Steven Crowder's various programs.",,,TRUE,6 900 000,3 400 000,3 470 000,2 600 000,572000,,,,,,,Oui
Steve,Crowder,"Host of ""Louder with Crowder""
conservative political commentator and media host.

""Change My Mind"" is a regular segment conducted by Crowder in which he sits at a table with a sign including the phrase ""Change My Mind"" and invites people walking by, often students at a university campus, to change his mind on a controversial subject. ",,,TRUE,3 100 000,2 400 000,"5 710 000

Crowder bits (1 300 000)",1 300 000,,4 300 000,,,,,,Non
Frank ,Turek,"Frank Turek (born November 20, 1961) is an American Christian apologist, author, public speaker, and radio host. He is best known as the founder and president of Christian apologetics ministry CrossExamined.org. 
Turek was present during the assassination of Charlie Kirk, whom he described as ""my dear friend",,,TRUE,208 900,204 400,726 000,522 000,,,,,,,,Oui
Alex,Bruesewitz,"Bruesewitz is the ultimate MAGA influencer, going from Gen Z “America First” bulldog on social media to one of Trump’s advisers. He was key to the campaign’s push for the bro vote, including its outreach to podcasts with predominantly male listeners.
https://www.politico.com/news/2025/01/21/trump-world-21-people-to-know-00198691 ",,,TRUE,203 900,621 000,,181 000,,,,,,x,,Oui
Mike,Davis,"Davis is known for his combative presence on social media and as Trump’s chief legal defender on cable news and right-wing media.
https://www.politico.com/news/2025/01/21/trump-world-21-people-to-know-00198691 

American lawyer, conservative political strategist, adviser, and provocateur. 

In 2021, Davis founded the Unsilenced Majority, a group committed to challenging Cancel Culture and pushing back against liberal influencers, alongside the Internet Accountability Project (IAP), which advocates for stricter oversight of Big Tech

Davis is a 2020 election denier. In the lead-up to the 2024 election, Davis said ""We're going to put kids in cages. It's going to be glorious"" and he threatened a ""reign of terror"" and to throw journalists into the ""gulag."" Though he has said that his extreme rhetoric is meant to troll the left. He also wrote that he wanted to “build a special gulag for leftwing white women. The laundry ward.” He also called for indicting President Joe Biden, his son Hunter Biden, and his brother James Biden prior to the pardons for the latter two.

Davis has been kicked off social media several times for ""hateful conduct.

After the 2024 election, Rolling Stone put him on their “Twelve Worst People in Trump’s Orbit” list",,"Unsilenced Majority
Article III Projects",FALSE,,435 000,,,,,,,,,,
Patrick,Bet-David,"MAGA podcaster 
American businessman, media personality, author, and podcaster. A conservative, he is the host of the PBD Podcast and Valuetainment,
Bet-David expressed skepticism about the 2020 U.S. presidential election results. In an interview with The Spectator, he cited the suppression of the Hunter Biden laptop story on Twitter as evidence of election interference, framing his view as ""Rigged Lite,"" similar to Tucker Carlson's position.
American far-right political commentator, activist and live streamer known for leading the Groypers.
He has been described as a neo-Nazi by various sources.[8][9][10] His views have been characterized as white supremacist,[11] misogynistic,[12][13] homophobic,[13] antisemitic,[14] Islamophobic,[15] and denying the Holocaust.[

In a July 2024 interview on Fox News, Bet-David advised Donald Trump to return to 2016-style messaging, stating: ""Trump needs to go back to 2016 speeches, sell me on the concept of the American Dream.""
Bet-David has received criticism from various media outlets. Media Matters and MIT Technology Review have criticized Bet-David and his platform for promoting conspiracy theories and failing to challenge controversial guests. According to Media Matters, his podcast has been a ""safe space"" for far-right figures to promote bigotry, including white nationalist rhetoric and anti-LGBTQ+ conspiracy theories. MIT Technology Review noted that Bet-David interviewed anti-vaccine activists and promoters of COVID-19 misinformation, typically in a non-confrontational manner.",,Article III Projects,TRUE,1 900 000,1 300 000,2 750 000,500 000,,1 400 000,,,,,,Oui
Michael,Knowles,"The Voices Young Conservatives Are Listening to Online - The New York Times

 American conservative political commentator, author, and media host. He has worked for The Daily Wire since 2016, and has hosted The Michael Knowles Show, a daily political podcast, since 2017.

Since joining The Daily Wire, Knowles has published two books: Reasons to Vote for Democrats in 2017 and Speechless: Controlling Words, Controlling Minds in 2021.

In April 2019, Knowles gave a speech at the University of Missouri–Kansas City titled ""Men Are Not Women"" during his YAF national college speaking tour. Student protesters disrupted his talk. One protester assaulted him and sprayed him with an unknown mixture, later determined to be lavender oil and other non-toxic household liquids.

In September 2019, Knowles called climate activist Greta Thunberg a ""mentally ill Swedish child"" on Fox News program The Story. 

In January 2020, while the first impeachment proceedings of President Donald Trump were underway, Knowles and U.S. Senator Ted Cruz launched the podcast Verdict with Ted Cruz.

At the Conservative Political Action Conference (CPAC) in March, he further stated that ""there can be no middle way in dealing with transgenderism"", and ""if [transgenderism] is false, then for the good of society, and especially for the good of the poor people who have fallen prey to this confusion, transgenderism must be eradicated from public life entirely – the whole preposterous ideology

In 2017, Knowles released an empty book called Reasons to Vote for Democrats: A Comprehensive Guide.[42] The book, which contained 266 empty pages, became a bestseller on Amazon.",,,TRUE,2 100 000,1 300 000,2 490 000,861 400,,230 600,,,,,,Oui
Riley,Gaines,"The Voices Young Conservatives Are Listening to Online - The New York Times

is an American conservative political activist and former collegiate swimmer known for campaigning against the participation of trans women in women's sports. Since 2023, Gaines has hosted the weekly OutKick and Fox Nation podcast Gaines for Girls.

In July 2024, Gaines spoke at the Republican National Convention in support of Trump.[50]

In February 2025, the United States Department of Health and Human Services (HHS) released a new webpage showcasing new guidance on women's health featuring videos with Gaines talking about her role helping with Executive Order 14201, which threatens to revoke federal funding from any elementary, secondary, and post-secondary institution that allows transgender girls to play on girls' teams

An August 2025 profile in The New York Times made note that Gaines's activism often includes publicly targeting and insulting transgender individuals, including teenage athletes, on social media to her 1.5 million followers. It further explained that Gaines' position is that sports is a gateway to invalidating the wider womanhood of transgender women, with Gaines quoted as saying ""The gender ideology movement is a house of cards, and I believe it’s lying on that sports issue (...) This will be the card that makes all of it crumble.""",,Turning Point USA,TRUE,40 100,1 600 000,,1 100 000,9000,1 400 000,,Gaines has since spoken with Trump too many times to count,,,,Oui
Matt,Walsh,"The Voices Young Conservatives Are Listening to Online - The New York Times

an American right-wing political commentator and podcast host. He hosts the podcast The Matt Walsh Show, and regularly appears on the American conservative website The Daily Wire. Walsh has authored four books and starred in The Daily Wire documentary films What Is a Woman? and Am I Racist?

Walsh opposes transgender rights and has campaigned in opposition to groups providing or encouraging transgender health care, particularly for minors. In 2022, Walsh released Johnny the Walrus, a children's book in which he compared being transgender to pretending to be a walrus, and What Is a Woman?, a documentary film about gender identity in the United States. Walsh has campaigned against several hospitals, comparing the transgender healthcare they provide to child sexual abuse, genital mutilation, and rape.

Sa description sur X :Theocratic fascist, bestselling children’s author, world renowned DEI consultant","Podcast/Youtube
Extrême droite? ggressive stance against L.G.B.T.Q. rights",,TRUE,2 500 000,3 900 000,3 310 000,1 900 000,,1 100 000,,"Sur Daily Wire, fondé par Ben Shapiro",,,,Non
Hannah,Cox,"The Voices Young Conservatives Are Listening to Online - The New York Times

Hannah Cox is a libertarian-conservative activist, commentator, and writer.

She is the co-founder and President of BASEDPolitics
She is also the owner of Athens Medi",Podcast/Youtube,,TRUE,54 200,100 000,101 000,29500,2000,59 100,,,,,,Non
Brett,Cooper,"The Voices Young Conservatives Are Listening to Online - The New York Times

American conservative political commentator and actress. She hosted the YouTube channel The Comments Section with Brett Cooper, produced by The Daily Wire, from March 2022 until December 2024. Since January 2025, she hosts The Brett Cooper Show, produced independently on her new channel. Cooper is also a contributor to Fox News and its sister channels, having signed with them in summer 2025.
Cooper spoke at Turning Point USA's annual America Fest (AmFest) Conference in Phoenix, Arizona. 
",Podcast/Youtube,Turning Point,TRUE,,517 000,1 600 000,1 300 000,,1 200 000,,"Sur Daily Wire, fondé par Ben Shapiro, addressed less directly political topics, like relationships,  the concept of tradwives, shorthand for traditional wives",,,,Non
Elijah,Schaffer,"CEO @TheRiftTV
'Just A Bunch Of Holes': Elijah Schaffer And Joel Webbon Share Their Thoughts On Women | People For

https://www.peoplefor.org/rightwingwatch/people/elijah-schaffer 

Elijah Schaffer declares that Black people are not Americans because originally they were originally slaves: ""Amendments were made and there was adjustments that gave you citizenship and the right to vote but it didn't make you an American, it just gave you American citizenship.""

Glenn Beck Fired Star Podcaster Elijah Schaffer After Sexual Assault Accusation
https://www.thedailybeast.com/conservative-pundit-elijah-schaffer-fired-from-the-blaze-after-sexual-assault-accusation/

Elijah Schaffer says the far-right must take care of its own: ""Who's going to hire the neo-Nazis who get fired for their neo-Nazi memes? Me. I will, because I think they're funny."" 
https://www.peoplefor.org/rightwingwatch/elijah-schaffer-will-hire-those-neo-nazis-who-get-fired-their-memes
",Podcast/Youtube,,TRUE,,835 000,11 200,66 000,,,,,,,,Non
